Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2019,FYTD,OCT,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,611
2020,Remaining,SEP,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,
2020,Remaining,JUN,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,165
2021,FYTD,DEC,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,38
2022 (FYTD),FYTD,NOV,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,1424
2020,FYTD,OCT,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1
2021,FYTD,NOV,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,3
2020,Remaining,AUG,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,21
2022 (FYTD),Remaining,MAY,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,386
2019,FYTD,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1921
2021,FYTD,DEC,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,3
2021,Remaining,AUG,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,190
2019,FYTD,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,2832
2020,Remaining,JUL,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,44
2022 (FYTD),FYTD,JAN,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,3037
2021,FYTD,FEB,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,6
2022 (FYTD),Remaining,MAR,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,11
2022 (FYTD),Remaining,MAR,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2468
2019,FYTD,DEC,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,0
2020,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,1275
2019,FYTD,FEB,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,738
2022 (FYTD),FYTD,FEB,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,14946
2019,Remaining,AUG,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,11208
2020,FYTD,OCT,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,80
2021,Remaining,SEP,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,5265
2019,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,657
2021,FYTD,DEC,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,34
2022 (FYTD),FYTD,DEC,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1341
2021,FYTD,FEB,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,2408
2021,Remaining,SEP,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,3992
2019,Remaining,AUG,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,333
2022 (FYTD),Remaining,MAY,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1920
2021,Remaining,AUG,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,21
2022 (FYTD),FYTD,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1846
2020,Remaining,MAR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,20
2019,Remaining,JUL,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,299
2019,Remaining,SEP,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2042
2021,Remaining,APR,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,35
2019,FYTD,FEB,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,447
2021,Remaining,MAY,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,393
2020,FYTD,OCT,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,38
2020,Remaining,MAR,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,216
2020,FYTD,FEB,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,36
2020,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,215
2021,Remaining,SEP,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,403
2021,Remaining,APR,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,1
2021,Remaining,JUL,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,1129
2021,Remaining,APR,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,266
2022 (FYTD),Remaining,JUN,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,12
2021,Remaining,APR,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,68
2020,Remaining,APR,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,624
2021,Remaining,JUL,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,8000
2020,FYTD,DEC,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,12000
2022 (FYTD),Remaining,MAR,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,172
2022 (FYTD),FYTD,DEC,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,12153
2021,Remaining,APR,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,65
2019,FYTD,OCT,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,441
2021,FYTD,JAN,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,4
2021,FYTD,NOV,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,6
2022 (FYTD),Remaining,MAR,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,4740
2020,Remaining,SEP,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,73
2022 (FYTD),FYTD,OCT,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,20413
2020,Remaining,APR,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,56
2022 (FYTD),Remaining,JUN,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,24856
2022 (FYTD),Remaining,APR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,2611
2019,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,791
2019,Remaining,JUN,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,164
2020,Remaining,AUG,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,180
2020,Remaining,JUL,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,695
2020,Remaining,SEP,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,2308
2019,FYTD,NOV,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,14
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,286
2020,FYTD,DEC,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,710
2021,Remaining,MAY,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,950
2019,Remaining,JUL,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,227
2019,FYTD,OCT,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,164
2019,FYTD,FEB,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,225
2019,Remaining,SEP,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,44
2020,Remaining,APR,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,3
2022 (FYTD),Remaining,MAY,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,7797
2020,Remaining,SEP,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,24
2020,FYTD,NOV,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,54
2019,Remaining,MAY,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,1352
2022 (FYTD),FYTD,FEB,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,692
2019,Remaining,AUG,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,4079
2020,Remaining,JUN,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,3
2019,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,636
2019,FYTD,FEB,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,11689
2021,FYTD,FEB,Office of Field Operations,UC / Single Minors,Mexico,Title 42,Expulsions,1
2019,Remaining,SEP,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3153
2020,Remaining,MAR,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,225
2021,FYTD,NOV,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,878
2019,Remaining,MAY,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,0
2021,Remaining,SEP,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,996
2020,Remaining,MAY,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,7
2021,Remaining,JUL,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,2933
2019,FYTD,JAN,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,0
2021,Remaining,SEP,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1
2019,FYTD,NOV,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,845
2021,Remaining,JUL,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,3190
2021,FYTD,DEC,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,5
2022 (FYTD),Remaining,MAR,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,116
2022 (FYTD),Remaining,APR,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,2493
2020,Remaining,JUL,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,364
2022 (FYTD),FYTD,DEC,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1756
2021,Remaining,APR,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,5
2020,FYTD,NOV,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,52
2021,FYTD,FEB,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,36935
2020,Remaining,MAR,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,21
2019,FYTD,FEB,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,68
2020,Remaining,SEP,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,4
2021,FYTD,JAN,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,129
2020,Remaining,AUG,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,7
2020,Remaining,JUL,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,2049
2021,FYTD,JAN,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,58
2021,FYTD,JAN,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,1
2019,Remaining,JUL,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,14
2019,Remaining,JUN,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,43
2020,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,866
2021,FYTD,FEB,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,12
2021,Remaining,SEP,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,4011
2022 (FYTD),Remaining,MAR,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,1
2019,Remaining,JUN,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,2544
2020,Remaining,MAY,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,6
2022 (FYTD),FYTD,FEB,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,9
2020,FYTD,OCT,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,29
2020,Remaining,AUG,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,34
2021,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,767
2021,FYTD,FEB,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,8
2022 (FYTD),Remaining,MAY,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,2729
2021,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,2
2021,FYTD,NOV,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,5
2021,Remaining,MAY,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,650
2022 (FYTD),FYTD,NOV,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1993
2019,FYTD,FEB,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,283
2021,Remaining,MAR,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1968
2022 (FYTD),Remaining,JUN,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,344
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,2148
2021,FYTD,OCT,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,7056
2021,Remaining,APR,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,5489
2020,FYTD,DEC,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,1484
2019,FYTD,OCT,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,2187
2019,Remaining,APR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,2421
2021,Remaining,AUG,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,1
2022 (FYTD),FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,2053
2021,FYTD,NOV,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,4
2022 (FYTD),FYTD,FEB,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,17
2022 (FYTD),FYTD,NOV,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,53123
2021,Remaining,JUN,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,4
2020,Remaining,MAR,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,1353
2022 (FYTD),Remaining,MAR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,3384
2020,Remaining,SEP,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,2
2022 (FYTD),FYTD,JAN,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1995
2021,FYTD,NOV,Office of Field Operations,UC / Single Minors,Mexico,Title 42,Expulsions,35
2019,FYTD,NOV,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,10197
2019,Remaining,APR,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,14965
2019,FYTD,OCT,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,78
2021,Remaining,MAR,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,8341
2021,FYTD,OCT,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,38362
2020,Remaining,JUN,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,73
2022 (FYTD),Remaining,MAR,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,16
2021,Remaining,MAR,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,584
2022 (FYTD),Remaining,JUN,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1623
2020,Remaining,JUL,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,376
2021,Remaining,SEP,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,28
2022 (FYTD),FYTD,JAN,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,9
2021,Remaining,JUL,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,570
2019,FYTD,JAN,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,74
2021,FYTD,OCT,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,2012
2021,FYTD,FEB,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,859
2020,FYTD,DEC,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,919
2020,Remaining,JUL,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,18
2020,Remaining,APR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,4
2021,Remaining,MAR,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1385
2020,FYTD,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,56
2021,Remaining,JUN,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,1950
2020,Remaining,SEP,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,281
2019,FYTD,OCT,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,67
2022 (FYTD),Remaining,MAR,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,175
2021,Remaining,MAY,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,13721
2019,Remaining,SEP,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,78
2020,Remaining,JUN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,10
2022 (FYTD),FYTD,OCT,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,1
2019,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,131
2019,Remaining,MAY,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,5661
2019,Remaining,AUG,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,1051
2021,Remaining,JUL,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,16
2020,FYTD,OCT,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2396
2021,Remaining,MAR,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,102
2022 (FYTD),FYTD,FEB,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,6858
2022 (FYTD),Remaining,APR,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,104
2020,FYTD,FEB,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,637
2019,Remaining,MAR,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,32
2019,Remaining,MAY,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,34
2019,FYTD,DEC,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1932
2022 (FYTD),Remaining,MAY,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,28
2020,Remaining,MAY,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,17
2021,FYTD,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,426
2022 (FYTD),Remaining,APR,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,22
2022 (FYTD),FYTD,JAN,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,37120
2021,Remaining,JUL,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,20259
2021,FYTD,NOV,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,7797
2019,FYTD,NOV,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,2354
2021,Remaining,APR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,2089
2020,Remaining,MAY,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,54
2019,Remaining,AUG,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,12122
2021,Remaining,JUL,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,408
2022 (FYTD),Remaining,MAR,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,172
2021,FYTD,FEB,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,50
2019,Remaining,APR,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,222
2019,Remaining,SEP,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,0
2022 (FYTD),FYTD,JAN,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,8806
2020,Remaining,JUN,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,27
2022 (FYTD),FYTD,NOV,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,10
2021,Remaining,APR,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,8920
2021,FYTD,FEB,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,11
2020,FYTD,JAN,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,772
2020,FYTD,OCT,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,2315
2021,FYTD,OCT,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,9
2022 (FYTD),Remaining,JUN,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,11646
2020,Remaining,JUL,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,
2022 (FYTD),Remaining,APR,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,120
2020,Remaining,MAY,Office of Field Operations,UC / Single Minors,Mexico,Title 42,Expulsions,15
2020,Remaining,AUG,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,157
2022 (FYTD),Remaining,APR,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,1184
2022 (FYTD),FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,1
2019,FYTD,OCT,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,214
2021,FYTD,NOV,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,27
2019,Remaining,MAR,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,408
2021,Remaining,APR,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,72
2021,FYTD,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,815
2019,Remaining,JUL,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,88
2019,Remaining,MAY,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,6225
2021,FYTD,DEC,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,3
2020,Remaining,APR,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,1
2020,Remaining,JUL,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,4
2019,FYTD,NOV,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,751
2020,Remaining,MAR,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,187
2019,Remaining,JUN,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,4464
2020,Remaining,APR,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,2
2020,Remaining,AUG,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,504
2020,Remaining,MAY,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,624
2021,Remaining,MAY,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,227
2021,FYTD,NOV,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,709
2022 (FYTD),FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1783
2021,Remaining,MAY,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,71
2021,Remaining,MAY,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,1
2022 (FYTD),FYTD,DEC,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,27
2020,Remaining,AUG,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,25
2022 (FYTD),FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,5990
2021,FYTD,OCT,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1632
2021,FYTD,NOV,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,26
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,108
2019,FYTD,DEC,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,89
2022 (FYTD),Remaining,MAY,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,3740
2020,FYTD,JAN,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,666
2020,Remaining,MAY,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,73
2021,Remaining,AUG,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,2105
2021,FYTD,JAN,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,7
2022 (FYTD),Remaining,APR,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,803
2021,Remaining,AUG,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1900
2021,Remaining,JUL,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,666
2021,FYTD,JAN,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,8
2019,FYTD,JAN,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1865
2022 (FYTD),FYTD,FEB,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,2918
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,18
2022 (FYTD),FYTD,NOV,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,2620
2022 (FYTD),Remaining,MAY,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,4196
2019,Remaining,AUG,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,51
2022 (FYTD),FYTD,FEB,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,33
2022 (FYTD),Remaining,APR,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,6159
2020,Remaining,MAY,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,6
2021,Remaining,SEP,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,177
2019,Remaining,MAY,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,4631
2019,Remaining,APR,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,23246
2020,Remaining,JUN,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,9
2020,Remaining,SEP,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,3
2022 (FYTD),Remaining,JUN,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,4994
2022 (FYTD),FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,456
2022 (FYTD),FYTD,FEB,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,7
2021,Remaining,MAY,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,216
2021,Remaining,JUN,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,95
